
age,height,income,status_after_a_month
25,65,1000000,1
26,70,20000,1
23,63,20000,1
30,65,1000000,1
26,72,50000,1
31,71,100000,1
38,69,150000,1
27,70,150000,1
34,69,80000,1
20,66,20000,1
23,68,100000,1
31,68,60000,1
21,67,20000,1
45,71,80000,1
25,76,80000,1
64,70,50000,1
25,72,20000,1
50,73,150000,1
35,68,100000,1
30,67,70000,1
25,70,20000,1
27,69,50000,1
27,74,30000,1
61,66,50000,1
27,69,20000,1
48,77,60000,1
24,69,1000000,1
25,67,20000,0
57,69,100000,1
48,72,150000,1
28,72,30000,1
31,65,70000,1
30,67,1000000,1
45,75,70000,1
33,69,80000,1
23,69,20000,1
51,70,100000,1
24,71,20000,1
42,68,40000,1
24,68,20000,1
22,69,60000,1
42,66,150000,1
30,70,30000,1
42,70,60000,1
49,70,100000,1
25,77,30000,1
30,70,80000,1
32,69,80000,1
28,69,100000,1
30,70,80000,1
43,73,100000,1
66,70,100000,1
25,71,20000,1
37,72,50000,1
46,72,80000,1
38,73,30000,1
28,70,70000,1
30,73,20000,1
32,69,80000,1
20,70,20000,1
32,70,60000,1
24,68,30000,1
53,72,150000,0
26,67,20000,1
35,71,150000,1
30,72,80000,1
23,67,60000,1
38,69,1000000,1
37,74,150000,1
31,69,100000,1
18,70,20000,1
34,71,100000,1
28,69,30000,1
35,74,50000,1
25,65,40000,1
27,72,250000,1
25,65,150000,1
26,70,30000,1
46,70,80000,1
37,72,30000,1
25,68,50000,1
29,71,250000,1
42,69,50000,1
49,70,100000,1
18,72,40000,1
25,75,30000,1
30,67,40000,1
45,68,100000,1
20,72,20000,1
20,68,20000,1
33,70,30000,1
33,72,100000,1
26,67,1000000,1
34,75,50000,1
29,68,50000,1
30,72,40000,1
31,71,250000,1
33,63,100000,1
22,71,80000,1
30,67,60000,1
31,75,20000,1
33,71,40000,1
41,72,100000,1
33,70,50000,1
35,76,150000,1
39,71,20000,1
29,74,60000,1
34,74,20000,1
33,69,100000,1
26,72,100000,1
49,68,70000,1
26,72,80000,1
36,67,80000,1
27,70,50000,1
48,74,250000,1
32,74,1000000,1
30,74,100000,1
30,71,1000000,1
46,71,250000,1
40,71,50000,1
32,69,100000,1
57,71,60000,1
30,71,80000,1
24,70,20000,1
29,72,80000,1
38,74,40000,1
43,72,100000,1
38,73,1000000,1
35,73,50000,1
41,73,50000,1
45,73,100000,1
38,65,250000,1
40,71,100000,1
32,67,50000,1
32,68,100000,1
24,67,1000000,1
36,68,150000,1
58,70,20000,1
26,73,20000,1
30,74,60000,1
25,74,1000000,1
46,72,70000,1
35,73,30000,1
30,65,40000,1
38,70,80000,1
22,66,70000,1
26,67,60000,0
69,68,80000,1
30,72,70000,1
25,68,100000,1
43,71,150000,0
26,73,40000,1
24,71,40000,1
29,69,30000,1
25,73,60000,1
29,70,40000,1
37,75,150000,1
23,76,20000,1
30,70,20000,1
38,70,100000,1
21,68,20000,1
27,70,40000,1
62,73,100000,1
33,71,80000,1
26,73,20000,1
26,72,70000,1
33,68,150000,1
31,76,70000,1
39,78,100000,1
30,69,50000,1
30,68,150000,1
59,71,50000,1
23,62,20000,1
31,72,100000,1
31,76,250000,1
30,65,80000,1
49,74,80000,1
40,68,30000,1
20,66,20000,0
38,68,100000,1
31,70,20000,1
40,69,20000,1
36,70,20000,1
32,68,1000000,1
23,72,20000,1
38,72,150000,1
29,68,1000000,1
38,72,1000000,1
39,67,250000,1
42,74,80000,1
24,74,20000,1
35,72,150000,1
28,70,100000,1
26,70,20000,1
23,72,20000,1
25,67,100000,1
21,69,30000,1
24,69,20000,1
29,70,50000,1
36,74,100000,1
18,72,20000,1
29,70,50000,1
36,77,30000,1
26,68,30000,1
27,73,30000,1
29,69,40000,1
27,70,40000,1
33,72,1000000,1
23,72,20000,1
31,68,80000,1
25,69,20000,1
31,71,100000,1
21,75,20000,1
29,70,20000,1
28,74,30000,1
26,74,1000000,1
46,69,150000,1
37,68,70000,1
30,75,150000,1
20,71,20000,1
31,70,100000,1
61,70,80000,1
42,71,50000,1
30,64,150000,1
33,72,80000,1
24,65,20000,1
33,66,20000,1
33,72,80000,1
41,66,40000,1
47,68,60000,1
22,75,20000,1
30,74,70000,1
33,75,100000,1
35,75,70000,1
23,70,100000,0
32,67,100000,1
35,71,150000,1
21,65,30000,1
24,76,30000,1
33,73,150000,1
52,72,80000,1
57,71,80000,1
22,67,20000,1
25,69,30000,1
28,71,20000,1
41,70,50000,1
23,70,20000,1
23,70,20000,1
31,76,20000,0
27,70,100000,1
23,69,1000000,1
45,70,50000,1
23,69,80000,1
26,67,20000,1
29,70,80000,1
30,69,60000,0
31,74,100000,1
33,72,100000,1
25,74,20000,1
30,72,20000,1
28,74,40000,1
24,73,50000,1
46,70,60000,1
25,66,20000,1
30,68,60000,0
24,70,40000,1
22,67,50000,1
25,73,30000,1
31,69,30000,1
28,71,100000,1
30,75,20000,1
28,78,50000,0
22,70,20000,1
25,75,30000,1
24,70,30000,1
40,67,150000,1
37,72,150000,1
31,68,80000,1
25,64,80000,1
23,69,80000,1
52,66,100000,1
30,74,80000,1
47,69,150000,1
68,73,100000,1
28,74,70000,1
32,64,60000,1
26,67,1000000,1
31,73,100000,1
26,71,40000,1
35,69,100000,1
28,72,20000,1
32,65,150000,1
26,71,20000,1
25,71,40000,1
48,67,150000,1
25,71,20000,1
33,70,100000,1
39,72,80000,1
23,74,20000,1
23,67,60000,1
25,72,30000,1
30,70,80000,1
32,72,150000,1
27,74,20000,1
29,68,100000,1
32,70,30000,0
26,64,20000,1
34,73,80000,1
50,69,60000,1
31,72,60000,1
49,73,50000,1
26,71,20000,1
28,73,20000,1
23,72,80000,1
65,70,30000,1
29,68,80000,1
33,71,20000,1
22,74,20000,1
32,71,150000,1
26,68,30000,1
36,72,1000000,1
32,69,40000,1
35,70,100000,1
27,70,100000,1
39,69,100000,0
31,64,40000,1
23,68,20000,1
31,73,70000,1
29,66,60000,1
44,67,70000,1
21,73,20000,1
24,69,20000,1
28,72,80000,1
34,69,20000,1
32,69,40000,1
26,71,20000,1
35,72,40000,1
44,69,80000,1
24,68,20000,0
28,73,80000,1
29,73,20000,1
34,70,150000,1
29,73,20000,0
31,71,70000,1
33,72,100000,1
35,69,80000,1
37,73,20000,1
38,69,40000,1
32,74,100000,1
32,68,40000,1
36,74,150000,1
45,70,80000,1
31,69,250000,1
23,72,20000,1
18,70,20000,1
23,67,80000,1
32,71,150000,1
23,71,30000,1
22,71,20000,1
29,69,30000,1
56,72,20000,1
26,71,20000,1
26,73,20000,1
30,70,60000,1
22,68,20000,0
33,71,1000000,1
24,68,40000,1
35,69,100000,1
30,70,30000,1
28,74,80000,0
27,67,40000,1
26,71,20000,1
39,67,1000000,1
30,75,1000000,1
20,70,20000,0
32,73,100000,1
36,72,150000,1
33,65,20000,1
27,74,100000,1
30,68,250000,1
27,69,20000,1
32,68,30000,1
41,71,20000,0
26,70,20000,1
41,74,20000,1
38,72,150000,1
24,70,20000,1
36,70,30000,0
38,74,150000,1
33,70,100000,1
26,72,20000,1
27,73,30000,0
30,67,50000,1
32,69,30000,1
35,68,100000,1
24,70,100000,1
26,72,20000,1
28,72,20000,1
26,66,20000,1
30,70,100000,1
23,65,20000,1
25,70,100000,1
22,76,20000,1
27,71,150000,1
37,70,70000,1
31,72,50000,1
57,67,100000,1
24,69,60000,1
28,68,20000,1
29,72,50000,1
45,70,100000,1
25,69,1000000,1
24,74,20000,1
37,70,100000,1
24,69,50000,1
30,69,60000,1
30,77,100000,1
29,70,150000,1
42,62,150000,1
24,68,20000,1
44,73,100000,1
24,66,60000,0
25,68,80000,1
40,76,100000,1
30,69,30000,1
19,72,20000,1
27,70,30000,1
33,71,100000,1
23,64,20000,1
30,69,150000,1
37,74,50000,1
39,73,30000,1
32,76,1000000,1
19,71,20000,1
26,70,150000,1
47,74,50000,1
26,68,60000,1
33,69,80000,1
37,67,40000,1
27,74,20000,1
27,68,100000,1
25,69,30000,1
20,67,20000,1
58,79,100000,1
32,72,1000000,1
53,68,50000,1
28,67,20000,1
34,70,150000,1
19,73,20000,1
27,72,60000,1
30,76,30000,1
25,64,30000,1
38,73,30000,1
30,69,40000,1
48,69,100000,0
39,70,80000,1
25,76,40000,1
33,73,150000,1
25,73,60000,1
33,67,150000,1
29,75,40000,1
34,70,100000,1
27,71,1000000,1
50,73,50000,1
22,74,30000,1
22,69,20000,1
26,69,50000,1
34,70,20000,1
25,71,50000,1
33,69,100000,1
54,69,70000,1
38,72,250000,1
52,68,50000,1
30,69,100000,1
50,69,100000,1
34,72,1000000,1
44,70,40000,1
25,75,20000,1
27,70,50000,1
28,74,40000,1
28,70,60000,1
20,66,20000,1
24,70,20000,1
30,76,40000,1
31,68,40000,1
21,69,20000,1
24,69,50000,1
37,73,70000,1
32,68,80000,1
41,77,30000,1
26,74,50000,1
24,68,20000,1
25,69,150000,1
36,65,80000,1
38,69,80000,1
42,71,50000,1
32,68,50000,1
24,67,20000,1
41,69,150000,1
28,75,60000,1
24,71,100000,1
39,72,30000,1
35,72,60000,1
47,70,150000,1
40,76,250000,1
20,69,20000,1
25,69,30000,1
23,74,20000,1
29,70,30000,1
26,70,80000,0
28,73,40000,1
34,71,20000,1
32,73,150000,1
24,74,20000,1
60,71,50000,1
55,67,80000,1
24,71,60000,1
26,71,20000,1
25,72,80000,1
25,74,60000,1
29,72,100000,1
37,74,80000,1
29,67,70000,1
28,72,40000,1
36,70,80000,1
35,71,100000,1
32,71,100000,1
31,74,150000,1
23,66,150000,0
29,73,40000,1
37,69,20000,1
24,76,20000,1
32,71,1000000,1
25,72,20000,1
39,66,70000,1
21,67,20000,1
32,76,80000,1
40,67,100000,1
29,72,50000,1
23,75,20000,1
37,73,40000,1
24,72,60000,1
31,70,20000,1
26,71,50000,1
21,74,20000,1
25,74,60000,1
40,68,60000,1
27,72,20000,1
33,74,20000,1
37,78,100000,1
32,72,40000,1
26,71,100000,1
42,68,60000,1
41,67,150000,1
28,68,60000,1
32,66,50000,0
31,69,50000,1
36,79,100000,1
37,70,80000,1
37,75,50000,1
25,69,1000000,1
24,77,20000,1
37,75,150000,1
40,70,50000,1
32,75,80000,1
26,69,60000,1
30,71,100000,1
35,68,20000,1
28,72,100000,1
26,74,100000,1
27,73,20000,1
